Key,Summary,Status,Affected Versions
HIVE-28515,Iceberg: Concurrent queries fail during commit with ValidationException,Resolved,4.0.0
HIVE-28487,Outdated MetastoreSchemaTool class reference in schemaTool.sh,Resolved,4.0.0
HIVE-28451,JDBC: TableName matcher fix in GenericJdbcDatabaseAccessor#addBoundaryToQuery,Resolved,4.0.0
HIVE-28439,Iceberg: Bucket partition transform with DECIMAL can throw NPE,Resolved,4.0.0
HIVE-28426,Manual import of mysql schema upgrade file fails,Resolved,4.0.0
HIVE-28366,Iceberg: Concurrent Insert and IOW produce incorrect result ,Resolved,4.0.0
HIVE-28360,"Upgrade jersey to version 1.19.4,",Resolved,3.1.3
HIVE-28353,Iceberg: Reading *Files Metadata table files if the column is of TIMESTAMP type,Resolved,4.0.0
HIVE-28347,"Make a UDAF 'collect_set' work with complex types, even when map-side aggregation is disabled.",Resolved,"2.4.0, 3.1.3, 4.0.0"
HIVE-28330,Fix example output of UDFHex,Resolved,4.0.0
HIVE-28285,Exception when querying JDBC tables with Hive/DB column types mismatch,Resolved,4.0.0
HIVE-28278,Iceberg: Stats: IllegalStateException Invalid file: file length 0,Resolved,4.0.0
HIVE-28277,HIVE does not support update operations for ICEBERG of type location_based_table.,Closed,4.0.0
HIVE-28266,Iceberg: select count(*) from data_files metadata tables gives wrong result,Resolved,4.0.0
HIVE-28264,OOM/slow compilation when query contains SELECT clauses with nested expressions,Resolved,4.0.0
HIVE-28262,Single column use MultiDelimitSerDe parse column error,Resolved,"3.1.3, 4.1.0"
HIVE-28239,Fix bug on HMSHandler#checkLimitNumberOfPartitions,Resolved,4.0.0
HIVE-28217,The default jdbc port does not take effect,Resolved,3.1.2
HIVE-28207,NullPointerException is thrown when checking column uniqueness,Resolved,4.0.0
HIVE-28202,Incorrect projected column size after ORC upgrade to v1.6.7 ,Resolved,"4.0.0, 4.0.0-beta-1"
HIVE-28190,Materialized view rebuild lock heart-beating is broken,Resolved,4.0.0
HIVE-28173,Issues with staging dirs with materialized views on HDFS encrypted table,Resolved,4.0.0
HIVE-28166,Iceberg: Truncate on branch operates on the main table,Resolved,4.0.0
HIVE-28143,"After HIVE-27492 fix, some HPLSQL built-in functions like trim, lower are not working when used in insert statement.",Resolved,4.0.0
HIVE-28123,Add Generated Protobuf code for 3.24.4 Upgrade,Closed,4.0.0
HIVE-28121,Use direct SQL for transactional altering table parameter,Resolved,4.0.0
HIVE-28009,Shared work optimizer ignores schema merge setting in case of virtual column difference,Closed,"4.0.0, 4.0.0-beta-1"
HIVE-28006,Materialized view with aggregate function incorrectly shows it allows incremental rebuild,Resolved,"4.0.0, 4.0.0-beta-1, 4.1.0"
HIVE-27960,Invalid function error when using custom udaf,Closed,"2.3.9, 4.0.0-beta-1"
HIVE-27801,Exists subquery rewrite results in a wrong plan,Closed,"4.0.0, 4.0.0-beta-1"
HIVE-27792,Corrected wrong hive-site.xml in docker,Resolved,"3.1.3, 4.0.0-alpha-1, 4.0.0-alpha-2, 4.0.0-beta-1"
HIVE-27675,Support keystore/truststore types for hive to zookeeper integration points,Closed,3.1.0
HIVE-27658,Error resolving join keys during conversion to dynamic partition hashjoin,Closed,"3.1.3, 4.0.0-beta-1"
HIVE-27649,Support ORDER BY clause in subqueries with set operators,Closed,"3.1.2, 4.0.0"
HIVE-27631,Fix CCE when set fs.hdfs.impl other than DistributedFileSystem,Closed,"2.3.5, 2.3.7, 3.1.3"
HIVE-27480,OFFSET without ORDER BY generates wrong results,Resolved,"2.4.0, 3.1.3, 4.0.0-alpha-2"
HIVE-27439,"Support space in Decimal(precision, scale) format",Closed,3.1.3
HIVE-27357,Map-side SMB Join returns incorrect result when it 2 tables have different bucket size,Resolved,"3.1.3, 4.0.0-alpha-2"
HIVE-27350,Unable to Create Table with 380+ Columns,Resolved,3.1.2
HIVE-27344,ORC RecordReaderImpl throws NPE when close() is called from the constructor,Closed,"3.1.3, 4.0.0-alpha-2"
HIVE-27324,Hive query with NOT IN condition is giving incorrect results when the sub query table contains the null value.,Closed,3.1.3
HIVE-27315,DynamicPartitionPruningOptimization.generateSemiJoinOperatorPlan throws NPE when hive.tez.dynamic.semijoin.reduction=true,Resolved,"2.3.9, 3.1.2"
HIVE-27268,Hive.getPartitionsByNames should not enforce SessionState to be available,Closed,3.1.3
